50
Files Exist
Graph 0, has: 10 Verticies, and: 26 Edges
Graph 1, has: 10 Verticies, and: 32 Edges
Graph 2, has: 10 Verticies, and: 38 Edges
Graph 3, has: 10 Verticies, and: 44 Edges
Graph 4, has: 10 Verticies, and: 50 Edges
Graph 5, has: 10 Verticies, and: 56 Edges
Graph 6, has: 10 Verticies, and: 62 Edges
Graph 7, has: 10 Verticies, and: 68 Edges
Graph 8, has: 10 Verticies, and: 74 Edges
Graph 9, has: 10 Verticies, and: 80 Edges
Graph 10, has: 20 Verticies, and: 104 Edges
Graph 11, has: 20 Verticies, and: 128 Edges
Graph 12, has: 20 Verticies, and: 152 Edges
Graph 13, has: 20 Verticies, and: 176 Edges
Graph 14, has: 20 Verticies, and: 200 Edges
Graph 15, has: 20 Verticies, and: 224 Edges
Graph 16, has: 20 Verticies, and: 248 Edges
Graph 17, has: 20 Verticies, and: 272 Edges
Graph 18, has: 20 Verticies, and: 296 Edges
Graph 19, has: 20 Verticies, and: 320 Edges
Graph 20, has: 30 Verticies, and: 234 Edges
Graph 21, has: 30 Verticies, and: 288 Edges
Graph 22, has: 30 Verticies, and: 342 Edges
Graph 23, has: 30 Verticies, and: 396 Edges
Graph 24, has: 30 Verticies, and: 450 Edges
Graph 25, has: 30 Verticies, and: 504 Edges
Graph 26, has: 30 Verticies, and: 558 Edges
Graph 27, has: 30 Verticies, and: 612 Edges
Graph 28, has: 30 Verticies, and: 666 Edges
Graph 29, has: 30 Verticies, and: 720 Edges
Graph 30, has: 40 Verticies, and: 416 Edges
Graph 31, has: 40 Verticies, and: 512 Edges
Graph 32, has: 40 Verticies, and: 608 Edges
Graph 33, has: 40 Verticies, and: 704 Edges
Graph 34, has: 40 Verticies, and: 800 Edges
Graph 35, has: 40 Verticies, and: 896 Edges
Graph 36, has: 40 Verticies, and: 992 Edges
Graph 37, has: 40 Verticies, and: 1088 Edges
Graph 38, has: 40 Verticies, and: 1184 Edges
Graph 39, has: 40 Verticies, and: 1280 Edges
Graph 40, has: 50 Verticies, and: 650 Edges
Graph 41, has: 50 Verticies, and: 800 Edges
Graph 42, has: 50 Verticies, and: 950 Edges
Graph 43, has: 50 Verticies, and: 1100 Edges
Graph 44, has: 50 Verticies, and: 1250 Edges
Graph 45, has: 50 Verticies, and: 1400 Edges
Graph 46, has: 50 Verticies, and: 1550 Edges
Graph 47, has: 50 Verticies, and: 1700 Edges
Graph 48, has: 50 Verticies, and: 1850 Edges
Graph 49, has: 50 Verticies, and: 2000 Edges
